"","Fecha_Recepcion","Regional","Ind_Covid","Codigo_Sede_Atiende_Op","Nombre_Sede_Atiende","Mes_Id","num_dia","Dia_semana","Ind_Atencion","num_pacientes","variable","value","total","partic"
"1915",2020-06-02,"ANTIOQUIA","N",2161,"Salud Sura Industriales",202006,3,"Martes","S",42,"UrgenciasNocovidAntioquia",540.926552343279,2909,0.123724055801293
"1916",2020-06-02,"ANTIOQUIA","N",9955,"Urgencias Molinos",202006,3,"Martes","S",182,"UrgenciasNocovidAntioquia",540.926552343279,6059,0.257698196665533
"1917",2020-06-02,"ANTIOQUIA","N",25987,"Urgencias Cordoba",202006,3,"Martes","S",295,"UrgenciasNocovidAntioquia",540.926552343279,8255,0.351097312010888
"1918",2020-06-02,"ANTIOQUIA","N",115958,"Urgencias Las Vegas",202006,3,"Martes","S",104,"UrgenciasNocovidAntioquia",540.926552343279,2013,0.0856158557332426
"1919",2020-06-02,"ANTIOQUIA","N",143877,"Urgencias San Diego",NA,NA,NA,NA,NA,"UrgenciasNocovidAntioquia",540.926552343279,4276,0.181864579789044
"1920",2020-06-02,"ANTIOQUIA","S",2161,"Salud Sura Industriales",NA,NA,NA,NA,NA,"Ux_Antioquia",37.0713080661939,180,0.0297029702970297
"1921",2020-06-02,"ANTIOQUIA","S",9955,"Urgencias Molinos",NA,NA,NA,NA,NA,"Ux_Antioquia",37.0713080661939,2728,0.45016501650165
"1922",2020-06-02,"ANTIOQUIA","S",25987,"Urgencias Cordoba",NA,NA,NA,NA,NA,"Ux_Antioquia",37.0713080661939,3152,0.52013201320132
"1923",2020-06-02,"CENTRO","N",2278,"Salud Sura Calle 100",202006,3,"Martes","S",14,"UrgenciasNocovidCentro",0.494369709443732,964,1
"1924",2020-06-02,"CENTRO","S",2278,"Salud Sura Calle 100",NA,NA,NA,NA,NA,"Ux_Centro",10.5364736551516,117,0.206713780918728
"1925",2020-06-02,"CENTRO","S",143856,"IPS Sura Olaya - Urgencias COVID",NA,NA,NA,NA,NA,"Ux_Centro",10.5364736551516,449,0.793286219081272
"1926",2020-06-02,"NORTE","N",121717,"Urgencias Salud SURA Barranquilla",202006,3,"Martes","S",5,"UrgenciasNocovidNorte",136.685166346189,96,0.0291350531107739
"1927",2020-06-02,"NORTE","N",122078,"Urgencias Altos del Prado",202006,3,"Martes","S",113,"UrgenciasNocovidNorte",136.685166346189,1454,0.441274658573596
"1928",2020-06-02,"NORTE","N",144080,"Urgencias Altos del Prado - No COVID",NA,NA,NA,NA,NA,"UrgenciasNocovidNorte",136.685166346189,1745,0.52959028831563
"1929",2020-06-02,"NORTE","S",121717,"Urgencias Salud SURA Barranquilla",NA,NA,NA,NA,NA,"Ux_Norte",16.4700892861404,299,0.0812941816204459
"1930",2020-06-02,"NORTE","S",122078,"Urgencias Altos del Prado",NA,NA,NA,NA,NA,"Ux_Norte",16.4700892861404,3379,0.918705818379554
"1931",2020-06-02,"OCCIDENTE","N",1130,"Salud Sura Chipichape",202006,3,"Martes","S",19,"UrgenciasNocovidOccidente",13.5231993534835,1413,0.134328358208955
"1932",2020-06-02,"OCCIDENTE","N",2669,"Urgencias Paso Ancho",202006,3,"Martes","S",126,"UrgenciasNocovidOccidente",13.5231993534835,7806,0.742085749595969
"1933",2020-06-02,"OCCIDENTE","N",143633,"Urgencias Norte Confandi",202006,3,"Martes","S",20,"UrgenciasNocovidOccidente",13.5231993534835,1300,0.123585892195076
"1934",2020-06-02,"OCCIDENTE","S",1130,"Salud Sura Chipichape",NA,NA,NA,NA,NA,"Ux_occidente",30.965239590686,112,0.0471777590564448
"1935",2020-06-02,"OCCIDENTE","S",2669,"Urgencias Paso Ancho",NA,NA,NA,NA,NA,"Ux_occidente",30.965239590686,1630,0.686604886267902
"1936",2020-06-02,"OCCIDENTE","S",143633,"Urgencias Norte Confandi",NA,NA,NA,NA,NA,"Ux_occidente",30.965239590686,632,0.266217354675653
